"do-nothing","Do &Nothing"
"debug-message","Debug &Message"
"new-file","&New"
"open-file","&Open"
"save-file","&Save"
"save-file-as","&Save File As..."
"check-for-updates","Check for &Updates"
"select-all","&Select All"
"whats-this","&What's This?"
"design-details","&Design Details"
"print-pattern","&Print"
"exit-program","E&xit"
"cut-object","Cu&t"
"copy-object","&Copy"
"paste-object","&Paste"
"undo","&Undo"
"redo","&Redo"
"window-close","Cl&ose"
"window-close-all","Close &All"
"window-cascade","&Cascade"
"window-tile","&Tile"
"window-next","Ne&xt"
"window-previous","Pre&vious"
"help","&Help"
"changelog-dialog","&Changelog"
"tip-of-the-day-dialog","&Tip Of The Day"
"about-dialog","&About Embroidermodder 2"
"icon-16","Icon&16"
"icon-24","Icon&24"
"icon-32","Icon&36"
"icon-48","Icon&48"
"icon-64","Icon&64"
"icon-128","Icon 12&8"
"settings-dialog","NULL"
"make-layer-current","&Make Layer Active"
"layers","&Layers"
"layer-selector","&Layer Selector"
"layer-previous","&Layer Previous"
"color-selector","&Color Selector"
"line-type-selector","&Stitchtype Selector"
"line-weight-selector","&Threadweight Selector"
"hide-all-layers"&Hide All Layers"
"show-all-layers"&Show All Layers"
"freeze-all-layers"&Freeze All Layers"
"thaw-all-layers"&Thaw All Layers"
"lock-all-layers"&Lock All Layers"
"unlock-all-layers","&Unlock All Layers"
"text-bold","&Bold Text"
"text-italic","&Italic Text"
"text-underline","&Underline Text"
"text-strikeout","&StrikeOut Text"
"text-overline","&Overline Text"
"zoom-real-time","Zoom &Realtime"
"zoom-previous","Zoom &Previous"
"zoom-window","Zoom &Window"
"zoom-dynamic","Zoom &Dynamic"
"zoom-scale","Zoom Sca&le"
"zoom-center","Zoom &Center"
"zoom-in","Zoom &In"
"zoom-out","Zoom &Out"
"zoom-selected","Zoom Selec&ted"
"zoom-all","Zoom &All"
"zoom-extents","Zoom &Extents"
"pan-real-time","&Pan Realtime"
"pan-point","Pan &Point"
"pan-left","&Pan Left"
"pan-right","&Pan Right"
"pan-up","&Pan Up"
"pan-down","&Pan Down"
"day-vision","&Day"
"night-vision","&Night"
"treble-clef","&TrebleClef"
"path","&Path"
"circle","&Circle"
"line","&Line"
"distance","&Distance"
"dolphin","&Dolphin"
"ellipse","&Ellipse"
"delete-object","D&elete"
"heart","&Heart"
"locate-point","&Locate Point"
"move","&Move"
"export","&Export"
"create-ui-rect","NULL"
"create-label","NULL"
"create-widget","NULL"
"create-icon","NULL"
"set-visibility","NULL"
"END","END"

"#","assets/objects/dolphin/dolphin.scm","
"#","num_points","512"
"#","scale_x","0.04"
"#","scale_y","0.04"
"#",""Creates a dolphin: dolphin"
"#",""
"#","heart4", "&Heart4", "Adds a heart to the vector layer: heart4.", "assets/scripts/heart4.scm"
"#","heart5", "&Heart5", "Adds a heart to the vector layer.", "assets/scripts/heart5.scm"
"#","single-line-text", "&Single Line Text", "Creates single-line text objects: TEXT"
"#","spell-check", "user" | OBJ_TYPE_TEXT, "S&pell Check", "Spell check the text object selected."
"#","quick-select", "user"
"#","rectangle", "&Rectangle", "Creates a rectangular polyline: RECTANGLE"
"#","rgb", "&RGB", "Updates the current view colors: RGB"
"#","rotate", "&Rotate", "Rotates objects about a base point: ROTATE"
"#","sandbox", "&Sandbox", "A sandbox to play in: SANDBOX"
"#","quickleader", "&QuickLeader", "Creates a leader and annotation: QUICKLEADER"
"#","snowflake", "&Snowflake", "Creates a snowflake: SNOWFLAKE"
"#","star", "&Star", "Creates a star: STAR"
"#","platform", "&Platform", "List which platform is in use: PLATFORM"
"#","point", "&Point", "Creates multiple points: POINT"
"#","polygon", "Pol&ygon", "Creates a regular polygon: POLYGON"
"#","polyline", "&Polyline", "Creates a 2D polyline: PLINE"
"#","settings-dialog", "&Settings", "Configure settings specific to this product."
"#","quickleader", "&QuickLeader", "Creates a leader and annotation: QUICKLEADER"
"#","locate-point", "&Locate Point", "Displays the coordinate values of a location: ID"
"#","point", "&Point", "Creates multiple points: POINT"
