"Red","Green","Blue","Name","Color (Hex Code)"
0x00, 0x00, 0x00, "PCM Color 1", "PCM Color 1"
0x00, 0x00, 0x80, "PCM Color 2", "PCM Color 2"
0x00, 0x00, 0xFF, "PCM Color 3", "PCM Color 3"
0x00, 0x80, 0x80, "PCM Color 4", "PCM Color 4"
0x00, 0xFF, 0xFF, "PCM Color 5", "PCM Color 5"
0x80, 0x00, 0x80, "PCM Color 6", ""
0xFF, 0x00, 0xFF, "PCM Color 7", ""
0x80, 0x00, 0x00, "PCM Color 8", ""
0xFF, 0x00, 0x00, "PCM Color 9", ""
0x00, 0x80, 0x00, "PCM Color 10", ""
0x00, 0xFF, 0x00, "PCM Color 11", ""
0x80, 0x80, 0x00, "PCM Color 12", ""
0xFF, 0xFF, 0x00, "PCM Color 13", ""
0x80, 0x80, 0x80, "PCM Color 14", ""
0xC0, 0xC0, 0xC0, "PCM Color 15", ""
0xFF, 0xFF, 0xFF, "PCM Color 16", ""
