"Red","Green","Blue","Name","Color"
0x00, 0x00, 0x00, "1", "PCM Color 1"
0x00, 0x00, 0x80, "2", "PCM Color 2"
0x00, 0x00, 0xFF, "3", "PCM Color 3"
0x00, 0x80, 0x80, "4", "PCM Color 4"
0x00, 0xFF, 0xFF, "5", "PCM Color 5"
0x80, 0x00, 0x80, "6", ""
0xFF, 0x00, 0xFF, "7", ""
0x80, 0x00, 0x00, "8", ""
0xFF, 0x00, 0x00, "9", ""
0x00, 0x80, 0x00, "10", ""
0x00, 0xFF, 0x00, "11", ""
0x80, 0x80, 0x00, "12", ""
0xFF, 0xFF, 0x00, "13", ""
0x80, 0x80, 0x80, "14", ""
0xC0, 0xC0, 0xC0, "15", ""
0xFF, 0xFF, 0xFF, "16", ""
