"Color","Name","Catalog Code"
0x000000,"Black","TODO"
0x0000ff,"Blue","TODO"
0x00ff00,"Light Green","TODO"
0xff0000,"Red","TODO"
0xff00ff,"Purple","TODO"
0xffff00,"Yellow","TODO"
0x7f7f7f,"Gray","TODO"
0x339aff,"Light Blue","TODO"
0x33cc66,"Green","TODO"
0xff7f00,"Orange","TODO"
0xffa0b4,"Pink","TODO"
0x994b00,"Brown","TODO"
0xffffff,"White","TODO"
0x00007f,"Dark Blue","TODO"
0x007f00,"Dark Green","TODO"
0x7f0000,"Dark Red","TODO"
0xff7f7f,"Light Red","TODO"
0x7f007f,"Dark Purple","TODO"
0xff7fff,"Light Purple","TODO"
0xc8c800,"Dark Yellow","TODO"
0xffff99,"Light Yellow","TODO"
0x3c3c3c,"Dark Gray","TODO"
0xc0c0c0,"Light Gray","TODO"
0xe83f00,"Dark Orange","TODO"
0xffa541,"Light Orange","TODO"
0xff667a,"Dark Pink","TODO"
0xffcccc,"Light Pink","TODO"
0x732800,"Dark Brown","TODO"
0xaf5a0a,"Light Brown","TODO"
