"Red","Green","Blue","Name","Catalog Code"
0, 0, 0, "Placeholder", "000"
0, 0, 0, "Black", "002"
255, 255, 255, "White", "001"
255, 255, 23, "Yellow", "204"
255, 102, 0, "Orange", "203"
47, 89, 51, "Olive Green", "219"
35, 115, 54, "Green", "226"
101, 194, 200, "Sky", "217"
171, 90, 150, "Purple", "208"
246, 105, 160, "Pink", "201"
255, 0, 0, "Red", "225"
177, 112, 78, "Brown", "214"
11, 47, 132, "Blue", "207"
228, 195, 93, "Gold", "003"
72, 26, 5, "Dark Brown", "205"
172, 156, 199, "Pale Violet", "209"
252, 242, 148, "Pale Yellow", "210"
249, 153, 183, "Pale Pink", "211"
250, 179, 129, "Peach", "212"
201, 164, 128, "Beige", "213"
151, 5, 51, "Wine Red", "215"
160, 184, 204, "Pale Sky", "216"
127, 194, 28, "Yellow Green", "218"
229, 229, 229, "Silver Gray", "220"
136, 155, 155, "Gray", "221"
152, 214, 189, "Pale Aqua", "227"
178, 225, 227, "Baby Blue", "228"
54, 139, 160, "Powder Blue", "229"
79, 131, 171, "Bright Blue", "230"
56, 106, 145, "Slate Blue", "231"
7, 22, 80, "Navy Blue", "232"
249, 153, 162, "Salmon Pink", "233"
249, 103, 107, "Coral", "234"
227, 49, 31, "Burnt Orange", "235"
226, 161, 136, "Cinnamon", "236"
181, 148, 116, "Umber", "237"
228, 207, 153, "Blond", "238"
255, 203, 0, "Sunflower", "239"
225, 173, 212, "Orchid Pink", "240"
195, 0, 126, "Peony Purple", "241"
128, 0, 75, "Burgundy", "242"
84, 5, 113, "Royal Purple", "243"
177, 5, 37, "Cardinal Red", "244"
202, 224, 192, "Opal Green", "245"
137, 152, 86, "Moss Green", "246"
92, 148, 26, "Meadow Green", "247"
0, 49, 20, "Dark Green", "248"
93, 174, 148, "Aquamarine", "249"
76, 191, 143, "Emerald Green", "250"
0, 119, 114, "Peacock Green", "251"
89, 91, 97, "Dark Gray", "252"
255, 255, 242, "Ivory White", "253"
177, 88, 24, "Hazel", "254"
203, 138, 7, "Toast", "255"
152, 108, 128, "Salmon", "256"
152, 105, 45, "Cocoa Brown", "257"
77, 52, 25, "Sienna", "258"
76, 51, 11, "Sepia", "259"
51, 32, 10, "Dark Sepia", "260"
82, 58, 151, "Violet Blue", "261"
13, 33, 126, "Blue Ink", "262"
30, 119, 172, "Sola Blue", "263"
178, 221, 83, "Green Dust", "264"
243, 54, 137, "Crimson", "265"
222, 100, 158, "Floral Pink", "266"
152, 65, 97, "Wine", "267"
76, 86, 18, "Olive Drab", "268"
76, 136, 31, "Meadow", "269"
228, 222, 121, "Mustard", "270"
203, 138, 26, "Yellow Ocher", "271"
203, 162, 28, "Old Gold", "272"
255, 152, 5, "Honey Dew", "273"
252, 178, 87, "Tangerine", "274"
0xFF, 0xE5, 0x05, "Canary Yellow", "275"
0xF0, 0x33, 0x1F, "Vermilion", "202"
0x1A, 0x84, 0x2D, "Bright Green", "206"
0x38, 0x6C, 0xAE, "Ocean Blue", "222"
0xE3, 0xC4, 0xB4, "Beige Gray", "223"
0xE3, 0xAC, 0x81, "Bamboo", "224"
